Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-,Unnamed: 24_level_1
50,50,11/7/25,N,N.C. State,ACC,UAB,H,"W, 94-70",124.4,98.6,74.5,126.1,62.3,18.8,37.9,36.1,93.9,43.7,18.8,38.6,19.7,93.5,8,
51,51,11/8/25,N,Minnesota,B10,Alcorn St.,H,"W, 95-50",124.2,79.9,69.8,136,52.5,17.2,57.6,61.7,71.6,36.6,22.9,24.4,26.8,99.4,24,
52,52,11/3/25,N,Bethune Cookman,SWAC,Auburn,A,"L, 95-90",124.1,105.7,70.8,113,58.6,16.3,23.5,12.9,119.3,50,13.8,39.5,55.9,86.4,-1,
53,53,11/7/25,N,Southern Illinois,MVC,UMKC,H,"W, 101-78",123.9,117.2,76.1,132.7,69.7,15.8,33.3,42.6,102.4,46.4,15.8,34,33.3,65.5,8,
54,54,11/3/25,N,Charlotte,Amer,Indiana St.,H,"W, 92-76",123.7,113.4,69.1,133.1,55.4,11.6,52.9,46.2,110,53.5,14.5,22.9,36.8,73,8,
55,55,11/8/25,N,Virginia Tech,ACC,Providence,N,"W, 107-101",123.6,104.7,79.3,120,58.2,12.3,27.9,27.8,113.3,52,15.7,28.6,32.9,87.1,-,
56,56,11/7/25,N,Saint Mary's,WCC,Chattanooga,H,"W, 87-66",123.5,100.3,67.4,129.1,66.7,20.8,28.6,64.4,97.9,49,19.3,19.4,36.5,91.6,11,
57,57,11/7/25,N,Sam Houston St.,CUSA,Texas Tech,A,"L, 98-77",123.5,119.2,70.5,109.3,48.5,19.9,45,30.8,139.1,60.3,15.6,50,74.1,59.9,-6,
58,58,11/7/25,N,Virginia,ACC,North Carolina Centr,H,"W, 81-62",123.4,103.1,62.7,129.1,57.4,19.1,52.6,31.1,98.8,36.7,14.3,36.4,36.7,88.8,18,
59,59,11/3/25,N,Tulane,Amer,Samford,H,"W, 85-72",123.3,114.8,65.1,130.5,68.9,12.3,8.7,24.5,110.6,50.8,16.9,36.6,27.9,69.5,5,
